artist,track,msPlayed,track_id,flag
T. Rex,Debora - Take 2,20762,x,0
T. Rex,Graceful Fat Sheba - Mono Version,89640,x,0
T. Rex,Graceful Fat Sheba - Stereo Version,88520,x,0
T. Rex,Hot Love - A Side,13951,x,0
T. Rex,Knight - Stereo Version,157893,x,0
T. Rex,Mustang Ford - Mono Version,23803,x,0
T. Rex,Salamanda Palaganda - Take 4,136066,x,0
T. Rex,Scenescof - Mono Version,100173,x,0
T. Rex,There Was A Time / Raw Ramp / Electric Boogie - B Side,36490,x,0
Tangerine Dream,Force Majeure (Excerpt),387333,x,0
Terry Riley,Part II - Live 1974,2474,x,0
The Guardians of Health,Sand dune coccoon,191632,x,0
The Kinks,Dead End Street - Mono Mix,200531,x,0
The Kinks,The Contenders - 2014 Remastered Version,163320,x,0
The Kinks,Victoria - Mono Mix,220053,x,0
The Yardbirds,Over Under Sideways Down (Stereo Version) - Remastered,143520,x,0
Thelonious Monk,Bloomdido,208640,x,0
Thelonious Monk,Introduction by George Wein - Live,35245,x,0
Torian Wegener,Loop,132990,x,0
Triumvirat,Be Home For Tea - Edit,218733,x,0
Triumvirat,Million Dollars - Edit / Digital Remaster,155133,x,0
Triumvirat,The Capitol Of Power,193236,x,0
Triumvirat,The Sweetest Sound Of Liberty,155506,x,0
Triumvirat,The Walls Of Doom,144705,x,0
Ultimate Spinach,Baroque Dances,165041,x,0
Urbxnxd,Coyote,47270,x,0
Victor Jara,El Cigarrito - 2001 Digital Remaster,124173,x,0
Victor Jara,El Tinku,206280,x,0
Victor Jara,Inga,148306,x,0
Victor Jara,Lamento Borincano,248680,x,0
Yusef Lateef,Don't Blame Me - Rudy Van Gelder Remaster,84711,x,0
Zucchero,Flying Away (Occhi),149886,x,0
