artist,track,msPlayed
Arti & Mestieri,Farenheit,2470
Arti & Mestieri,Nove luna prima,53506
Arti & Mestieri,Valzer per domani,136306
Arvo Pärt,Fratres,688413
Arvo Pärt,Für Alina,2195
Arvo Pärt,Spiegel im Spiegel - Version for Violin and Piano,14067
Arzachel,Azathoth,260946
Arzachel,Clean Innocent Fun,45968
Arzachel,Garden Of Earthly Delights,167200
Arzachel,Queen St. Gang,265920
Ashra,77 Slightly Delayed,19418
Ashra,Midnight On Mars,416026
Ashra,Ocean Of Tenderness,17547
Aster Aweke,Wolela,86023
Astrud Gilberto,Summer Samba (So Nice),161533
Axiom Of Choice,Pulse,58346
Aziz Sahmaoui,Absence,154964
Aziz Sahmaoui,Ana Hayou,271563
Aziz Sahmaoui,Coquelicots,8876
Aziz Sahmaoui,Maktoube - Long Version,17520
Aziz Sahmaoui,Maktoube - Short Version,183814
Aziz Sahmaoui,Mazal,273624
Aziz Sahmaoui,Salabati,297807
Aziza Brahim,Baraka,231640
Aziza Brahim,Intifada,16257
Azymuth,Morning,10981
B.B. King,Hummingbird,278640
B.B. King,Paying The Cost To Be The Boss,213560
B.B. King,The Thrill Is Gone,99164
BAP,Verdamp lang her,241
BLO,Chant To Mother Earth,16294
Babe Rainbow,Peace Blossom Boogy,32533
Babylone,Hayem,238419
Bachman-Turner Overdrive,Free Wheelin,224893
Bad Company,Burnin' Sky - 2017 Remaster,310866
Bad Company,Deal with the Preacher - 2015 Remaster,302360
Bad Company,Electricland - 2009 Remaster,326933
Bad Company,Knapsack (The Happy Wanderer) - 2017 Remaster,19979
Bad Company,Leaving You - 2017 Remaster,204200
Bad Company,Like Water - 2017 Remaster,107295
Bad Company,Morning Sun - 2017 Remaster,247680
Bad Company,Nuthin' on the TV - 2009 Remaster,1402
Bad Company,Untie the Knot - 2009 Remaster,54580
Badfinger,I'd Die Babe - Remastered 2010,3245
Bakerloo,Drivin' Bachwards - 2013 Remaster,15433
Balanescu Quartet,Interlude,59421
Ballaké Sissoko,Guelen,7435
Ballaké Sissoko,Prélude,72213
Banchee,Beautifully Day,308349
Banchee,Tom's Island,103975
Banco Del Mutuo Soccorso,Canto nomade per un prigioniero politico,947093
Banco Del Mutuo Soccorso,Dopo...niente e' più lo stesso,594400
Banco Del Mutuo Soccorso,In volo,133760
Banco Del Mutuo Soccorso,La città sottile,433226
Banco Del Mutuo Soccorso,Non mi rompete,307106
Banco Del Mutuo Soccorso,Traccia,124213
Banco Del Mutuo Soccorso,Traccia II,159226
Band Of Skulls,I Know What I Am,2957
Barry McGuire,Yesterday,6380
Be Bop Deluxe,Crying To The Sky - 2018 Remaster,1214
Beastie Boys,Song For Junior - Remastered 2009,229786
Beck,Devils Haircut,192933
Beck,Gamma Ray,176920
Beck,Loser,56252
Beggars Opera,Lament,9074
Belle and Sebastian,The Boy With the Arab Strap,314066
Berky,Freier Fall,2074
Bettina Wegner,Sind so kleine Hände (Kinder),11007
Bibi Rezende,Stairway to Dogs,88775
Big Brother & The Holding Company,Combination of the Two,347360
Big Brother & The Holding Company,I Need a Man to Love,817
Bill Bruford,Hell's Bells,214333
Bill Bruford,One Of A Kind - Part One,140600
Bill Evans,Lullaby For Helene - Quartet,159533
Bill Evans,Peace Piece,404160
Bill Evans,The Washington Twist,5324
Bill Frisell,A Hard Rain's A-Gonna Fall,146245
Bill Frisell,Blues Dream,151573
Bill Frisell,Coffaro's Theme,267466
Bill Frisell,Messin' with the Kid,179293
Bill Frisell,Outlaws,475466
Bill Frisell,Pipeline,426173
Bill Frisell,Pretty Stars,237573
Bill Frisell,Rumble,296080
Bill Frisell,Smilin' Jones,302440
Bill Frisell,Surfer Girl,254106
Bill Frisell,The Shortest Day,297386
Bill Frisell,"Turn, Turn, Turn",160600
Bill Frisell,You Only Live Twice,37555
Bill Withers,Grandma's Hands,4598
Bill Wyman,Come Back Suzanne,203960
Billie Holiday,All of Me,44531
Billie Holiday,Stormy Weather,221280
Billy Cobham,Le Lis,200106
Billy Cobham,Quadrant 4,11062
Billy Cobham,Red Baron,396666
Billy Cobham,Sorcery,144560
Billy Cobham,Spectrum,309517
Billy Cobham,Stratus,589786
Billy F Gibbons,Missin’ Yo’ Kissin’,9486
Billy Joel,52nd Street,1072
Billy Joel,Nocturne,166066
Billy Preston,Outa-Space,250866
Billy Squier,All Night Long,25593
Billy Strings,Turmoil & Tinfoil,382998
Björn Meyer,Three Thirteen,192960
Black Cat Bones,Death Valley Blues,234602
Black Label Society,The Day That Heaven Had Gone Away,26913
Black Sabbath,Hand of Doom (2009 - Remaster),35899
Black Sabbath,Laguna Sunrise (2009 - Remaster),170533
Black Sabbath,Orchid (2009 - Remaster),91040
Black Sabbath,Paranoid,168440
Black Sabbath,Paranoid (2009 - Remaster),80247
Black Sabbath,Rat Salad (2009 - Remaster),72963
Black Sabbath,The Wizard,260640
Black Sabbath,War Pigs (2009 - Remaster),8620
Blackfoot,Running,42528
Blick Bassy,Woñi,177201
Blind Faith,Can't Find My Way Home,196133
Blind Faith,"Can’t Find My Way Home - Live: Hyde Park, London 7th June 1969",373893
Blind Faith,"Do What You Like - Live: Hyde Park, London 7th June 1969",1215
Blind Faith,Had To Cry Today,528733
Blind Faith,Presence Of The Lord,287426
Blind Faith,Sea Of Joy,321800
Blind Faith,"Sleeping In The Ground - Live: Hyde Park, London 7th June 1969",3483
Blind Faith,"Under My Thumb - Live: Hyde Park, London 7th June 1969",366533
Blind Faith,Well All Right,266866
Blind Melon,No Rain,3158
Blodwyn Pig,Long Bomb Blues - 2009 Remaster,68066
Blodwyn Pig,The Change Song - 2006 Remaster,225160
"Blood, Sweat & Tears","40,000 Headmen",164881
"Blood, Sweat & Tears",And When I Die,244973
"Blood, Sweat & Tears",Go Down Gamblin',246227
"Blood, Sweat & Tears",Hi-De-Ho,122135
"Blood, Sweat & Tears",Lucretia Mac Evil,357200
"Blood, Sweat & Tears",Smiling Phases,12991
"Blood, Sweat & Tears",Spinning Wheel,247266
"Blood, Sweat & Tears","Variation on a Theme by Erik Satie (1st Movement - Adapted from ""Trois Gymnopedies"")",99893
"Blood, Sweat & Tears","Variations on a Theme by Erik Satie (1st and 2nd Movements - Adapted from ""Trois Gymnopedies')",153560
"Blood, Sweat & Tears",You've Made Me So Very Happy,136511
Blue Öyster Cult,(Don't Fear) The Reaper,308120
Blue Öyster Cult,Cities On Flame with Rock and Roll,242640
Blue Öyster Cult,Godzilla,221400
Blue Öyster Cult,Then Came the Last Days of May,210546
Blue Öyster Cult,Transmaniacon MC,200373
Blur,Tender,26467
Bo Diddley,Diddley Daddy,195505
Bo Diddley,Everybody Needs Somebody - Live,33031
Bo Diddley,The Great Grandfather - Live,15194
Boards of Canada,Roygbiv,111440
Bob Dylan,All Along the Watchtower,151093
Bob Dylan,Ballad of a Thin Man,356706
Bob Dylan,Blackjack Davey,38405
Bob Dylan,Girl from the North Country,36966
Bob Dylan,Hurricane,512733
Bob Dylan,I Want You,185200
Bob Dylan,"Lay, Lady, Lay",197093
Bob Dylan,Man in the Long Black Coat,273200
Bob Dylan,Queen Jane Approximately,327466
Bob Dylan,She Belongs to Me,19792
Bob Dylan,Shelter from the Storm,14833
Bob Dylan,Stuck Inside of Mobile with the Memphis Blues Again,423666
Bob Dylan,Subterranean Homesick Blues,141293
Bob Dylan,Tangled up in Blue,341626
Bob Dylan,The Man in Me,186213
Bob Dylan,To Be Alone with You,127600
Bob Dylan,Union Sundown,322560
Bob Dylan,Visions of Johanna,451133
Bob Dylan,Wigwam,15875
Bob James,Angela (Theme From Taxi),345160
Bob Marley & The Wailers,Lively Up Yourself,12021
Bob Marley & The Wailers,Time Will Tell,10010
Bob Weir,Big Iron,269693
Bob Weir,Black-Throated Wind,0
Bob Weir,Greatest Story Ever Told,223066
Bob Weir,Mexicali Blues,208253
Bobby Keys,Key West,91628
Bombino,Amidinine,1530
Booker T. & the M.G.'s,Boot-Leg,125960
Booker T. & the M.G.'s,Green Onions,176333
Booker T. & the M.G.'s,Hang 'Em High,17213
Booker T. & the M.G.'s,Hip Hug-Her,146866
Booker T. & the M.G.'s,Let's Go Get Stoned,174533
Booker T. & the M.G.'s,Time Is Tight,195226
Boston,More Than a Feeling,285133
Boz Scaggs,Still Falling for You,4727
Brad Mehldau,For No One,112149
