artist,track,msPlayed
Miles Davis,Miles Runs the Voodoo Down,841746
Miles Davis,"Miles Runs the Voodoo Down (feat. Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland & Harvey Brooks)",841333
Miles Davis,"Moja (Part 1) - Live at Carnegie Hall, New York, NY - March 1974",69375
Miles Davis,Move,154340
Miles Davis,Orange,471958
Miles Davis,Pharaoh's Dance,1204066
Miles Davis,Portia,380133
Miles Davis,"Sanctuary (feat. Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland & Harvey Brooks)",656426
Miles Davis,Shhh / Peaceful,6705
Miles Davis,"Sivad - Live at the Cellar Door, Washington, DC - December 1970",913826
Miles Davis,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",562640
Miles Davis,"Spanish Key (feat. Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland & Harvey Brooks)",43797
Miles Davis,Summertime,20353
Miles Davis,"The Sorcerer (feat. Wayne Shorter, Herbie Hancock, Ron Carter & Tony Williams)",5208
Miles Davis,Tomaas,335533
Miles Davis,Water on the Pond,420720
Miles Davis,White,363026
Miles Davis,Yellow,274725
Miles Davis,Yesterdays,21126
Miles Davis Quintet,Easy Living,303960
Miles Davis Quintet,It Never Entered My Mind,323186
Miley Cyrus,Flowers,13384
Miravaldini,Abrazo Sereno,136640
Misha Alperin,At Home,162093
Moby,Porcelain,90182
Moby Grape,"NAKED, IF I WANT TO",55933
Moby Grape,Sweet Ride (Never Again) - Long Version,356320
Modern Talking,Lucky Guy,90713
Modern Talking,Sweet Little Sheila,22219
Modern Talking,You Can Win If You Want,162362
Modest Mussorgsky,Pictures at an Exhibition (Orch. Ravel): Promenade I,95400
Mohamed Lamouri,Malgré tout,153800
Mohamed Rouicha,Mohamed Rouicha - Wahed - 2,44394
Moondog,Bird's Lament,123893
Moondog,To A Sea Horse,103000
Mor Thiam,Ayo Ayo Nene,240834
Morphine,Buena,199666
Morphine,Cure for Pain,194093
Morphine,Good,154173
Mort Garson,Plantasia,15300
Mose Allison,The Seventh Son,157226
Mose Allison,Young Man's Blues,83613
Mossalux,Peingzhu,43352
Mott The Hoople,All the Young Dudes - David Bowie & Ian Hunter Vocal,262773
Muddy Waters,Hoochie Coochie Man - Live,13887
Muddy Waters,I'm Ready - 1972 Version,30991
Muddy Waters,Mannish Boy,321133
Muddy Waters,Rollin' Stone,188160
Muddy Waters,You Need Love,1001
Mulatu Astatke,Cha Cha,275373
Mulatu Astatke,Mascaram Setaba - Stereo Master,167933
Mulatu Astatke,Masenqo,383853
Mulatu Astatke,Tezeta,368539
Mulatu Astatke,Tezeta (Nostalgia),376640
Mulatu Astatke,Yègellé Tezeta,194293
Mulatu Astatke,Yèkèrmo Sèw,253386
Munir Bachir,Johny Guitar,7420
Museo Rosenbach,Zarathustra- Al Di La Del Bene E,161213
Nada Street,Preciso Señales,2445
Nancy Sinatra,Some Velvet Morning,740
Napoli Centrale,'A gente 'e bucciano - A,100946
Napoli Centrale,Campagna - A,96986
Napoli Centrale,"Viecchie, mugliere, muorte e criature - A",45813
Nasro,Mon Amour,7082
Nass El Ghiwane,Ah Ya Ouine,93767
Nass El Ghiwane,Allah ya moulana - Dieu ô notre Seigneur,285666
Native Egyptian Prince Ahmed Barakat,اغنية مصر ام المؤمنين,327006
Natural Child,8 AM Blues,5610
Natural Child,Bailando Con Lobos,143880
Natural Child,"Laid, Paid, and Strange",140933
Natural Child,Mexican Adderall,125973
Natural Child,Out In The Country,174586
Natural Child,Out of Sight,276311
Natural Child,Self Centered Blues,41088
Nazz,Hello It's Me,5621
Neil Young,Harvest Moon,48895
Neil Young,Heart Of Gold,188440
Neil Young,Journey Through the Past,141906
Neil Young,Mr. Soul,199240
New Order,Your Silent Face - 2015 Remaster,78278
New Riders of the Purple Sage,Dirty Business,499866
Ngozi Family,Hi Babe,243626
Nick Cave & The Bad Seeds,Henry Lee (feat. PJ Harvey),238186
Nick Cave & Warren Ellis,Song for Jesse,155693
Nick Drake,' Cello Song,1567
Nick Drake,Pink Moon,124000
Nick Drake,Place To Be,1446
Nick Drake,River Man,4961
Nick Drake,Road,119450
Nick Drake,Time Has Told Me,264613
Nick Lowe,Cracking Up,1101
Nicky Hopkins,Dolly,136255
Nicky Hopkins,Edward,321640
Nicky Hopkins,Lawyer's Lament,223213
Nicky Hopkins,Mr. Big,7922
Nicky Hopkins,Pig's Boogie,162933
Nicky Hopkins,Shout It Out,221200
Nicky Hopkins,Sundown In Mexico,97466
Nicky Hopkins,The Dreamer,346400
Nicky Hopkins,Yesterday,113109
Nicola Piovani,Caro Diario: Il Campo Di Pallone,68000
Nicolaus Esterhazy Sinfonia,"Symphony No. 7 in A major, Op. 92: II. Allegretto",264700
Nightmares On Wax,Mission Venice,170160
Nils Frahm,Because This Must Be,165557
Nina Simone,Baltimore,278866
Nina Simone,Don't Let Me Be Misunderstood,8625
Nina Simone,I Wish I Knew How It Would Feel to Be Free,188613
Nina Simone,Love Me Or Leave Me,244866
Nina Simone,Mr. Bojangles,299213
Nina Simone,My Baby Just Cares for Me - 2013 Remastered Version,197166
Nina Simone,Sinnerman,622000
Nina Simone,Suzanne,259866
Nino Rota,Amarcord,127786
Nirvana,All Apologies - Live,263226
Nucleus,Alleycat,857733
Nucleus,Taranaki,1725
Ofege,Gbe Mi Lo,253072
Ofege,It's Not Easy,263338
Old & In The Way,Midnight Moonlight,316360
Old & In The Way,Wild Horses,278533
Oliver Nelson,Stolen Moments,525613
One Way Out,Tuck (Tell It Like It Is),9675
Orbital,Forever,2329
Orbital,The Girl with the Sun in Her Head,583467
Orchestre El Gusto,Haramtou Bik Nouassi,198000
Orchestre El Gusto,Sobhan Allah Ya Latif,1806
Orchestre El Gusto,Yaraya,196120
Orchestre National De Barbes,Alaoui,491013
Orchestre National De Barbes,Poulina,132880
Ornette Coleman,Foreigner In A Free Land,2086
Ornette Coleman,Lonely Woman,302199
Ornette Coleman,Ramblin',396413
Os Mutantes,A Minha Menina,284986
Osamu Kitajima,Golden Mean,74344
Osamu Kitajima,Taiyo the Sun,215375
Osamu Kitajima,Tengu - A Long-Nosed Goblin,339040
Osanna,Stanza città,1224
Osanna,Tema,73598
Osibisa,Jumbo,4821
Osibisa,Y Sharp - Digitally Remastered Version,53385
Oum,Taragalte,7719
Ovidi Montllor,Perquè Vull,48446
Ozric Tentacles,Eternal Wheel,6619
Ozzy Osbourne,Mr. Crowley,302647
Ozzy Osbourne,No More Tears,6485
Ozzy Osbourne,Over the Mountain,66161
PJ Harvey,"A Child's Question, August",12619
PJ Harvey,A Perfect Day Elise,186106
PJ Harvey,All And Everyone,762
PJ Harvey,Angelene,214226
PJ Harvey,Black Hearted Love,12165
PJ Harvey,C'mon Billy,167600
PJ Harvey,Catherine,245493
PJ Harvey,Down By The Water,194506
PJ Harvey,Dress,198240
PJ Harvey,Electric Light,3744
PJ Harvey,Good Fortune,200200
PJ Harvey,I Inside the Old I Dying,39693
PJ Harvey,I Inside the Old Year Dying,23925
PJ Harvey,Joy,49648
PJ Harvey,Let England Shake,189280
PJ Harvey,On Battleship Hill,32048
PJ Harvey,Prayer at the Gate,1426
PJ Harvey,Rid Of Me,268826
PJ Harvey,Send His Love To Me,260773
PJ Harvey,Sheela-na-gig,7263
PJ Harvey,The Glorious Land,0
PJ Harvey,The Last Living Rose,141280
PJ Harvey,The River,292933
PJ Harvey,The Sky Lit Up,112906
PJ Harvey,The Wind,241493
PJ Harvey,This Is Love,226666
PJ Harvey,This Mess We're In,235840
PJ Harvey,To Bring You My Love,331600
PJ Harvey,When Under Ether,142400
PJ Harvey,You Said Something,198733
Paco de Lucía,Rodrigo: Concierto De Aranjuez: 2. Adagio,105039
Paolo Damiani,Sequenza Prima (Sequenze Orfiche) - Live,112506
Paolo Fresu Quintet,Peace,31973
Papillon,Desperta.,3882
Parliament,Give Up The Funk (Tear The Roof Off The Sucker),2395
Parquet Courts,N Dakota,139333
Pat Martino,Both Sides Now,6017
Pat Metheny Group,Are You Going With Me?,527373
Pat Metheny Group,Au Lait,5675
Pat Thomas,Gyae Su,252889
Patti Smith,Dancing Barefoot,256533
Patti Smith,Gloria: In Excelsis Deo,354320
Patti Smith,Kimberly,265466
Patti Smith,People Have the Power,119540
Patti Smith,So You Want to Be,36834
Paul Desmond,Mrs. Robinson,160280
Paul Desmond,Take Ten,189293
Paul Kossoff,I'm Ready,145426
Paul Kossoff,Molten Gold,350666
Paul Mauriat,Love Is Blue - Remastered,153613
Paul McCartney,Band On The Run - 2010 Remaster,220067
Paul McCartney,Coming Up - Remastered 2011,67796
Paul McCartney,Cut Me Some Slack,278053
Paul McCartney,Frozen Jap - Remastered 2011,4251
Paul McCartney,Jet - 2010 Remaster,248360
Paul McCartney,Let Me Roll It - 2010 Remaster,2858
Paul McCartney,Long Tailed Winter Bird,1184
Paul McCartney,Maybe I’m Amazed - 2011 Remaster,229826
Paul McCartney,Mrs. Vandebilt - 2010 Remaster,223120
Paul McCartney,Nineteen Hundred And Eighty Five,331840
Paul McCartney,Nineteen Hundred And Eighty Five - 2010 Remaster,331853
Paul McCartney,Uncle Albert / Admiral Halsey - Medley / 2012 Remaster,1498
Paul Simon,50 Ways to Leave Your Lover,217346
Paul Simon,American Tune,225133
Paul Simon,Diamonds on the Soles of Her Shoes,349280
Paul Simon,Duncan,283133
Paul Simon,Gumboots (with Boyoyo Boys),164826
Paul Simon,I Know What I Know (with General M.D.Shirinda & The Gaza Sisters),1485
Paul Simon,Me and Julio Down by the Schoolyard,164813
Paul Simon,Mother and Child Reunion,38854
Paul Simon,That Was Your Mother (with Good Rockin' Doopsie & The Twisters),43358
Paul Simon,Under African Skies,24994
Paul Simon,You Can Call Me Al,91327
Pauline Anna Strom,Virgin Ice,16392
Pearl Jam,Alive,340907
Pearl Jam,All or None,277573
Pearl Jam,Alright,222
Pearl Jam,Amongst The Waves,238880
Pearl Jam,Aya Davanita - Remastered,1981
Pearl Jam,Better Man,268586
Pearl Jam,Better Man - Guitar / Organ Only,5829
Pearl Jam,Brain of J.,180000
Pearl Jam,Breakerfall,139400
Pearl Jam,Bugs - Remastered,164986
Pearl Jam,Can't Keep,219333
Pearl Jam,Comatose,139906
Pearl Jam,Corduroy - Remastered,277586
Pearl Jam,Cropduster,231800
Pearl Jam,Dance Of The Clairvoyants,265306
Pearl Jam,Daughter - Remastered,234333
Pearl Jam,Dissident - Remastered,214986
Pearl Jam,Elderly Woman Behind the Counter in a Small Town - Remastered,196186
Pearl Jam,Even Flow,292580
Pearl Jam,Faithful,29861
Pearl Jam,Fatal,217866
Pearl Jam,Future Days,3560
Pearl Jam,Get Right,158506
Pearl Jam,Ghost,194293
Pearl Jam,Given to Fly,238866
Pearl Jam,Go - Remastered,193426
Pearl Jam,Gods' Dice,146026
Pearl Jam,Gone,247920
Pearl Jam,Got Some,182533
Pearl Jam,Green Disease,142200
Pearl Jam,"Hail, Hail",134869
Pearl Jam,I Am Mine,215333
Pearl Jam,Immortality - Remastered,318066
Pearl Jam,Infallible,320280
Pearl Jam,Inside Job,428560
Pearl Jam,Jeremy,3339
Pearl Jam,Just Breathe,72057
Pearl Jam,Last Exit - Remastered,175386
Pearl Jam,Light Years,3452
Pearl Jam,Love Boat Captain,276373
Pearl Jam,"Love, Reign O'er Me",50085
Pearl Jam,Low Light,7643
Pearl Jam,Lukin,62360
Pearl Jam,Man of the Hour,223560
Pearl Jam,Marker In The Sand,261626
Pearl Jam,Never Destination,1769
Pearl Jam,Not for You - Remastered,352586
Pearl Jam,Nothing As It Seems,6248
Pearl Jam,Nothingman - Remastered,274440
Pearl Jam,Off He Goes,14319
Pearl Jam,Once,231367
Pearl Jam,Present Tense,345786
Pearl Jam,"Pry, To - Remastered",61400
Pearl Jam,Quick Escape,108066
Pearl Jam,Rearviewmirror - Remastered,283466
Pearl Jam,Red Mosquito,242733
Pearl Jam,Retrograde,322306
Pearl Jam,Sad,218160
Pearl Jam,Satan's Bed - Remastered,204880
Pearl Jam,Save You,230026
Pearl Jam,Severed Hand,267653
Pearl Jam,Smile,231813
Pearl Jam,Spin the Black Circle - Remastered,167613
Pearl Jam,State of Love and Trust,68563
Pearl Jam,Superblood Wolfmoon,229466
Pearl Jam,Take The Long Way,2398
Pearl Jam,Thumbing My Way,248160
Pearl Jam,Tremor Christ - Remastered,250600
Pearl Jam,Unemployable,183546
Pearl Jam,Whipping - Remastered,154040
Pearl Jam,Who Ever Said,308286
Pearl Jam,Wishlist,206586
Pearl Jam,World Wide Suicide,207346
Pearl Jam,Yellow Ledbetter,303586
Pearl Jam,You Are,268693
Penguin Cafe Orchestra,Music For A Found Harmonium - 2008 Digital Remaster,219733
Penguin Cafe Orchestra,Perpetuum Mobile,269800
Penguin Cafe Orchestra,The Sound Of Someone You Love Who's Going Away And It Doesn't Matter - 2008 Digital Remaster,421772
Pescado Rabioso,Las Habladurias del Mundo,74317
Pete Townshend,Give Blood,346973
Peter Bardens,One Of These Days I'll Get An Early Night,354200
Peter Baumann,This Day,5573
Peter Fox,Zukunft Pink (feat. Inéz),14405
Peter Frampton,"Baby, I Love Your Way - Live",28445
Peter Frampton,Black Hole Sun,325653
Peter Frampton,Jumping Jack Flash,791
Peter Frampton,Show Me The Way,243266
Peter Gabriel,Biko,10228
Peter Green,A Fool No More,408960
Peter Green,Bad Bad Feeling (2005 - Remaster),199414
Peter Green,Bandit (2005 - Remaster),184320
Peter Green,Beasts of Burden,26274
Peter Green,Black Woman (2005 - Remaster),238186
Peter Green,Born Under a Bad Sign,28960
Peter Green,Bottoms Up,541893
Peter Green,Green Manalishi - Studio,13741
Peter Green,In the Skies,229000
Peter Green,It's Gonna Be Me,3428
Peter Green,Just for You,276160
Peter Green,Last Train to San Antone,330213
Peter Green,Midnight,55712
Peter Green,No Way Out,193626
Peter Green,Proud Pinto,219000
Peter Green,Seven Stars,31468
Peter Green,Slabo Day,309160
Peter Green,Timeless Time,103018
Pharoah Sanders,Naima,331000
Phil Everly,"Gone, Gone, Gone (Done Moved On)",44251
Philip Glass,Abdul Majid,533000
Philip Glass,Channels and Winds,7116
Philip Glass,Dance IX,488400
Philip Glass,Etude No. 2,295560
Philip Glass,Facades,443026
Philip Glass,Glassworks: VI. Closing,2200
Philip Glass,Koyaanisqatsi,209840
Philip Glass,Metamorphosis II,78839
Philip Glass,Music in Eight Parts,21906
Philip Glass,Opening,35973
Philip Glass,Ragas in Minor Scale,453093
Philip Glass,Scene 6: The Somnambulist,23310
Philip Glass,Secret Agent,38521
Philip Glass,"Songs from Liquid Days: No. 1, Changing Opinion",120241
Philip Glass,"String Quartet No. 3, ""Mishima"": VI. Mishima / Closing",194373
Philip Glass,"String Quartet no. 2 ""Company"": II.",106213
Philip Glass,The Grid,896066
Philip Glass,"The Hours: An Unwelcome Friend (From ""The Hours"")",1614
Philip Glass,The Kiss,169386
Philip Glass,Tissue No. 7,3178
Philip Glass,Truman Sleeps,111831
Philip Glass,Vessels,18550
Philip Glass Ensemble,Knee 5,484666
Phish,Stash,271627
Picchio dal pozzo,Bofonchia,52480
Piero Umiliani,Crepuscolo Sul Mare,167314
Pink Floyd,A Pillow Of Winds - 2011 Remastered Version,24640
Pink Floyd,A Saucerful Of Secrets (Live) [2011 - Remaster],769880
Pink Floyd,Alan's Psychedelic Breakfast - 2011 Remaster,484314
Pink Floyd,Astronomy Domine - 2011 Remaster,251880
Pink Floyd,Brain Damage - 2011 Remastered Version,18420
Pink Floyd,Breathe (In The Air) - 2011 Remastered Version,169560
Pink Floyd,Careful With That Axe Eugene (Live) [2011 - Remaster],530546
Pink Floyd,Careful With That Axe Eugene - 1996 Remastered Version,344906
Pink Floyd,Cirrus Minor - 2011 Remaster,40618
Pink Floyd,Comfortably Numb - 2011 Remastered Version,379213
Pink Floyd,Cymbaline - 2011 Remaster,290346
Pink Floyd,Echoes - 2011 Remastered Version,1413306
Pink Floyd,Eclipse - 2011 Remastered Version,114093
Pink Floyd,Fat Old Sun - 2011 Remaster,323946
Pink Floyd,Fearless - 2011 Remastered Version,367880
Pink Floyd,Free Four - 2011 Remastered Version,256746
Pink Floyd,Have A Cigar - 2011 Remaster,307440
Pink Floyd,I'm A King Bee,194000
Pink Floyd,Ibiza Bar - 2011 Remaster,199200
Pink Floyd,Learning To Fly - 2011 Remastered Version,292080
Pink Floyd,Learning To Fly - 2019 Remix,292893
Pink Floyd,Let There Be More Light - 2011 Remaster,337213
Pink Floyd,Marooned - 2011 Remaster,3037
Pink Floyd,Money - 2011 Remastered Version,380080
Pink Floyd,Not Now John - 2011 Remastered Version,34665
Pink Floyd,On The Highway - Zabriskie Point Remix,76386
Pink Floyd,On The Turning Away - 2011 Remastered Version,31093
Pink Floyd,One Of These Days - 2011 Remastered Version,355400
Pink Floyd,Party Sequence - 2011 Remaster,68786
Pink Floyd,Pigs On The Wing 1 - 2011 Remaster,84506
Pink Floyd,Pow R. Toc. H - 2011 Remaster,266280
Pink Floyd,Run Like Hell - 2011 Remastered Version,2474
Pink Floyd,San Tropez - 2011 Remastered Version,222853
Pink Floyd,See Emily Play - 1996 Remastered Version,173733
Pink Floyd,Set The Controls For The Heart Of The Sun - 2011 Remaster,328293
Pink Floyd,Sheep - 2011 Remaster,18941
Pink Floyd,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",810293
Pink Floyd,Stay - 2011 Remastered Version,247573
Pink Floyd,Summer '68 - 2011 Remaster,328386
Pink Floyd,The Gold It's In The ... - 2011 Remastered Version,187813
Pink Floyd,The Nile Song - 2011 Remaster,206800
Pink Floyd,The Riot Scene - Zabriskie Point Remix,99866
Pink Floyd,Time - 2011 Remastered Version,4963
Pink Floyd,Two Suns In The Sunset - 2011 Remastered Version,1491
Pink Floyd,Up The Khyber - 2011 Remaster,132800
Pink Floyd,What Do You Want From Me - 2011 Remaster,261480
Pink Floyd,Wish You Were Here,1899
Pink Floyd,Wots ... Uh The Deal - 2011 Remastered Version,309200
Pink Floyd,Young Lust - 2011 Remastered Version,209786
Pixies,Ana,129440
Pixies,Cecilia Ann,897
Pixies,La La Love You,62313
Pixies,Monkey Gone to Heaven,175333
Polar Son,Youth,2278
Popol Vuh,Aguirre I (l'acrime di rei),31012
Popol Vuh,King Minos II,115240
Popol Vuh,Vuh,42285
Porcupine Tree,Anesthetize,68180
Porcupine Tree,Radioactive Toy,9425
Portico Quartet,Pompidou,193066
Portishead,Mysterons,305240
Portishead,Sour Times,252266
Premiata Forneria Marconi,Adrenaline Oasis - English version,295346
Premiata Forneria Marconi,Appena un po',463826
Premiata Forneria Marconi,Celebration,233000
Premiata Forneria Marconi,Come ti va,85006
Premiata Forneria Marconi,Cyber Alpha,268146
Premiata Forneria Marconi,Dolcissima Maria,248000
Premiata Forneria Marconi,Dove... quando... - I Parte,250626
Premiata Forneria Marconi,Generale,258000
Premiata Forneria Marconi,Geranio,484000
Premiata Forneria Marconi,Grazie davvero,351746
Premiata Forneria Marconi,Guglielmo Tell – Ouverture,172146
Premiata Forneria Marconi,Harlequin,470000
Premiata Forneria Marconi,Ieri,98960
Premiata Forneria Marconi,Il banchetto,519333
Premiata Forneria Marconi,Il sogno di Leonardo,251617
Premiata Forneria Marconi,Impressioni di Settembre,344400
Premiata Forneria Marconi,Impressioni di settembre,56634
Premiata Forneria Marconi,Impressioni di settembre reprise - Live in Lugano,82506
Premiata Forneria Marconi,Introduzione,69720
Premiata Forneria Marconi,Kindred Souls - English version,10935
Premiata Forneria Marconi,L'isola di niente,123102
Premiata Forneria Marconi,La Canzone Di Marinella,225706
Premiata Forneria Marconi,La carrozza di Hans,406626
Premiata Forneria Marconi,La luna nuova,24047
Premiata Forneria Marconi,Let Go - English version,173789
Premiata Forneria Marconi,Maestro della voce,334840
Premiata Forneria Marconi,Mr 9 'Till 5,251173
Premiata Forneria Marconi,Nederland 1903,202293
Premiata Forneria Marconi,Old Rain,221000
Premiata Forneria Marconi,Peninsula,156093
Premiata Forneria Marconi,Per un amico,323840
Premiata Forneria Marconi,Photos Of Ghosts,323000
Premiata Forneria Marconi,Promenade The Puzzle,120718
Premiata Forneria Marconi,Rain Birth - Live 2001,17253
Premiata Forneria Marconi,River Of Life,421000
Premiata Forneria Marconi,Suonare suonare,287160
Premiata Forneria Marconi,The mountain,11842
Premiata Forneria Marconi,Transumanza - Italian version,65613
Premiata Forneria Marconi,Worlds Beyond - English version,197560
Premiata Forneria Marconi,È festa,292346
Pretenders,Middle of the Road - 2007 Remaster,254293
Procol Harum,A Whiter Shade of Pale - Original Single Version,248946
Procol Harum,She Wandered Through the Garden Fence,206213
Procol Harum,She Wandered Through the Garden Fence - 2009 Remaster,206213
Procol Harum,The Truth Won't Fade Away,18197
Propaganda,Dream Within A Dream,123657
Psychic Ills,All Alone,214186
Psychic Ills,Coca-Cola Blues,431733
Psychic Ills,Dream Repetition,121733
Psychic Ills,FBI,104511
Psychic Ills,I Don't Mind,280720
Psychic Ills,Mind Daze,218946
Psychic Ills,Never Learn Not to Love,251529
Psychic Ills,One More Time,221472
Psychic Ills,Same Old Song,190613
Psychic Ills,See You There,94873
Psychic Ills,That’s Alright,235266
Pyotr Ilyich Tchaikovsky,1812 Overture,42501
Queens of the Stone Age,Make It Wit Chu,707
Queens of the Stone Age,Regular John,277808
Quicksilver Messenger Service,Calvary,11275
Quicksilver Messenger Service,Fresh Air,321933
Quicksilver Messenger Service,Fresh Air - Remastered,319586
Quicksilver Messenger Service,Gold And Silver,403533
Quicksilver Messenger Service,Happy Trails,89760
Quicksilver Messenger Service,It's Been Too Long,1458
Quicksilver Messenger Service,Light Your Windows,53787
Quicksilver Messenger Service,Mona,421266
Quicksilver Messenger Service,Pride Of Man,248066
Quicksilver Messenger Service,Which Do You Love,109200
Quicksilver Messenger Service,Who Do You Love - Pt. 1,212733
Quilapayún,Drume Negrita,217933
Quincy Jones,Soul Bossa Nova,166589
R.E.M.,Man On The Moon,23346
R.E.M.,Near Wild Heaven,20549
RAF Camora,Liebe Grüsse,6434
Rabih Abou-Khalil,A Better Tomorrow,32253
Rabih Abou-Khalil,A Night In The Mountains,69935
Rabih Abou-Khalil,Banker's Banquet,327519
Rabih Abou-Khalil,Blue Camel,499514
Rabih Abou-Khalil,Dreams Of A Dying City,4613
Rabih Abou-Khalil,Imminent Journey,81626
Rabih Abou-Khalil,Nafas,94000
Rabih Abou-Khalil,On A Bus,260200
Rabih Abou-Khalil,Sahara,498360
Rabih Abou-Khalil,Shrewd Woman,24347
Rabih Abou-Khalil,The Happy Sheik,572333
Rachid Taha,Joséphine,314066
Rachid Taha,Kifache Rah,38947
Rachid Taha,Minouche,3144
Rachid Taha,Now or Never,9941
Radiohead,I Might Be Wrong,425
Radiohead,Karma Police,2647
Radiohead,Subterranean Homesick Alien,197407
Radiohead,"There, There",323600
Rage Against The Machine,Bombtrack,15426
Rahsaan Roland Kirk,Bye Bye Blackbird,158680
Rahsaan Roland Kirk,Conversation,56946
Rahsaan Roland Kirk,"Dream, Pt. 1",51133
Rahsaan Roland Kirk,"Dream, Pt. 2",90266
Rahsaan Roland Kirk,"Dream, Pt. 3",59000
Rahsaan Roland Kirk,"Dream, Pt. 4",63360
Rahsaan Roland Kirk,"Dream, Pt. 5",23706
Rahsaan Roland Kirk,Echoes of Privimitive Ohio & Chili Dogs,412640
Rahsaan Roland Kirk,"Freaks for the Festival, Pt. 1",241026
Rahsaan Roland Kirk,High Heel Sneakers,289000
Rahsaan Roland Kirk,Horses - Monogram / Republic,19626
Rahsaan Roland Kirk,Portrait of Those Beautiful Ladies,382226
Rahsaan Roland Kirk,Portrait of Those Beautiful Ladies - #2,475093
Rahsaan Roland Kirk,The Entertainer,377173
Rahsaan Roland Kirk,The Entertainer (Done in the Style of the Blues),361266
Rahsaan Roland Kirk,Theme for the Eulipions,570346
Rail Band,Rail Band,13887
Rajery,3 MA,39223
Ralph McTell,Streets of London,746
Ralph Towner,Sacred Place,25877
Ralph Towner,Tarry,63266
Rammstein,Du riechst so gut,874
Rammstein,Heirate mich,65901
Rammstein,Keine Lust,56804
Rammstein,"Reise, Reise",251146
Rammstein,Sehnsucht,6010
Rammstein,Was ich liebe,9613
Rammstein,Zeit,6123
Ramones,Judy Is a Punk - 2016 Remaster,12249
Ramsey Lewis,Cry Baby Cry,1951
Rare Earth,Get Ready - Single Version,370
Ray Charles,Georgia on My Mind,15311
Ray Charles,"What'd I Say, Pt. 1 & 2",307053
Ray Lema,"Zeyel Meyel, Part. 1",22208
Raïna Raï,Chabba,242533
Raïna Raï,Chouli - Live,286348
Raïna Raï,Dikra,28437
Raïna Raï,Douane,219333
Raïna Raï,Hagda,238866
Raïna Raï,Hamama,230226
Raïna Raï,Hmama - Live,26220
Raïna Raï,Maghreb,317333
Raïna Raï,Nama Palsu,59450
Raïna Raï,Rani M'Hayar,245733
Raïna Raï,Rani mhayar,30499
Raïna Raï,Taila,243506
Raïna Raï,Til taila,5783
Raïna Raï,Zahri Ouine,308720
Raïna Raï,Zina,307160
Red Hot Chili Peppers,Aeroplane,285066
Red Hot Chili Peppers,Breaking the Girl,103131
Red Hot Chili Peppers,Parallel Universe,269360
Red Hot Chili Peppers,Road Trippin',204960
Redshift,Rhode Kill,5224
Renaissance,Kiev,3234
Renaissance,Opening Out,1834
Renaissance,Spare Some Love,311440
Renaud Garcia-Fons,La demoiselle de Ceret,98720
Renaud Garcia-Fons,Les rues vagabondes,26802
Renaud Garcia-Fons,Ricercare,119050
Renaud Garcia-Fons,Sylvains d'orient,224554
René Aubry,After the Storm,75000
René Aubry,Children on the Bridge,80923
René Aubry,Christmas Morning,112053
René Aubry,Come Sail With Me,11147
René Aubry,Fil de verre,187465
René Aubry,Footprints,52000
René Aubry,Guitare bambou,171460
René Aubry,I Feel Good,208147
René Aubry,In the Oceon,108350
René Aubry,La grande cascade,268132
René Aubry,Le vent,129732
René Aubry,Looking for Stick Man,142009
René Aubry,Lurglestrop,65639
René Aubry,Ocean Storm,38962
René Aubry,One Snowy Night,133000
René Aubry,Opening,39262
René Aubry,Pearl & the Governess,34033
René Aubry,Piccola Pioggia,105411
René Aubry,Rasta La Vista,160465
René Aubry,Replay,250213
René Aubry,Salento,345200
René Aubry,Shooting Stars,52770
René Aubry,Séduction,281666
René Aubry,Thank You,101328
René Aubry,The Deep Dark Wood,64000
René Aubry,"The Desert, Pt. 1",147613
René Aubry,"The Desert, Pt. 2",125386
René Aubry,The Forest,156431
René Aubry,The Garden,50997
René Aubry,The Green Bird,93361
René Aubry,The Gruffalo's Child,58625
René Aubry,The Lake,173120
René Aubry,The Rocket Take Off,71089
René Aubry,The Stuck Man,13905
René Aubry,The Woman and the Tree,132826
René Aubry,This Is the Sky,113160
René Aubry,Wandering,71209
René Aubry,Water Falls,137000
René Aubry,Zog,119119
Return To Forever,Captain Señor Mouse,9543
Return To Forever,Hymn Of The 7th Galaxy,211906
Return To Forever,Sorceress - Instrumental,453693
Return To Forever,The Romantic Warrior - Instrumental,1258
Return To Forever,Where Have I Danced With You Before,74626
Rheingold,Rein - Remastered 2005,1100
Ricchi E Poveri,Come Vorrei,0
Ricchi E Poveri,Mamma Maria,189306
Richard Thompson,1952 Vincent Black Lightning,283493
Richard Thompson,Turning Of The Tide,1389
Richard Wagner,Das Rheingold: Prelude,61215
Richard Wagner,"Die Walkure, Act III: Ride of the Valkyries",325000
Richard Wagner,Tannhäuser: Overture,19025
Richard Wagner,Walkürenritt,4659
Ride,Leave Them All Behind - 2001 Remaster,2601
Rikki Ililonga,Sheebeen Queen,249718
Rima Khcheich,El-Shayyalin,55778
Rima Khcheich,Harrama el-Nawma,934
Rima Khcheich,Kalam el-Leil,263746
