artist,track,msPlayed,track_id,flag
Allman Brothers Band,Midnight Rider,180066,1hHGUdFaiJHw9hVZGJWYO2,10
Allman Brothers Band,Revival,246253,7CopJCaFaOsTrNpZanANip,10
Alphaville,Forever Young,0,4S1VYqwfkLit9mKVY3MXoo,10
Amadou & Mariam,Senegal Fast Food,56746,4UP2cLNgUjPzCHKS92pp2U,1
Amanaz,Easy Street,15433,0HO2txMsboN8qpFYI0Gva5,2
Amanaz,Green Apple,230979,3SuUswNWXLmRkrLGfGuXPb,2
Amanaz,I Am Very Far,35199,30nE3zvUyw9O3uUKHzJk2m,2
Amanaz,Khala My Friend,200933,5xevas4P14kVmD4St0X3yy,3
Amar Ezzahi,Esmeralda - Instrumental,56690,5itYaLfaylFokflXyL6QSd,1
Amazingblaze,Can't Stop,5653,49FAFHYVMhJajXiOiA4Dd2,1
Ambrosia,Holdin' on to Yesterday,15450,5nFpF7jUbVnnDMXIu65aoh,5
America,A Horse with No Name,252239,54eZmuggBFJbV7k248bTTt,10
America,Lonely People,150226,5coTcHT7K8O3G97y9T4LOU,10
America,Sister Golden Hair,199573,5VSAonaAPhhGn0G7hMYwWK,10
America,Ventura Highway,139842,4IU1RL4BKvFyXtbTwaHAvW,10
Ami Koita,Tata Sira,404040,40EVTXBhQZh5An9OpZ1JPU,4
Amine Bouhafa,Shooting The Statues,73320,0Wsmxn4VqS2xwS3lkOqmgS,2
Amir Elsaffar,Hyper Steps,43698,4zyrVoBwKCiRStlrf3M4Fy,1
Ana Firmino,Chico Malandro,2133,1N5dysfj1SejPeuf5xLwoe,1
Anat Fort Trio,"Milarepa, Pt. 1",99626,4e9yaIYaIQMGrx8ID8kC9d,1
Andreas Vollenweider,Flight Feet and Root Hands,2452,64iGkQy5fe5gKVTpIvPtOX,1
Andrew Latimer,Echoes,437600,4Xp3eCFgYSGNl9yIwag0nF,1
Andrew Latimer,Summer Lightning,365280,0ejJubPnOB9TT9J8kWJMRh,1
Andrew Oldham Orchestra,Blue Turns To Grey,50535,3bu9eh6NYe9PmDbCEaAT12,1
Andrew Oldham Orchestra,The Last Time,226586,7wLtyMDljwAziOVC9d3FOh,1
Angelique Kidjo,Crosseyed and Painless,328813,4Mv2cCZWORGFV6rbiRCWZX,1
Angelo Badalamenti,Dance of the Dream Man - Instrumental,221866,5WXIgZes8ntlCwLJfOzeyB,1
Angelo Badalamenti,Laura Palmer's Theme - Instrumental,292000,7Bk3p8UqcP4sItaWNWbvXL,1
Angelo Badalamenti,Twin Peaks Theme - Instrumental,37290,7FO7BolIZsl1o8DDSjeOph,2
Angelo Branduardi,Alla Fiera Dell'Est,109871,6H05BWojJmygTQQHpt9irD,7
Angelo Branduardi,Ballo In Fa Diesis Minore,14072,4q5rVhS6Qp9LDvHTaQiRkw,10
Angelo Branduardi,Il Dono Del Cervo,197373,3red9xwXz8hU4XRNuZhr6d,5
Angelo Branduardi,La Favola Degli Aironi,1428,5UdNygbs0kInn9Av1SAuum,3
Angelo Branduardi,La Serie Dei Numeri,86400,424vQGmEnhDddlo27msdAs,2
Angelo Branduardi,Piccola canzone dei contrari,3686,1sVhGq4Rgi2lEzpm6lqFot,2
Anne Clark,Our Darkness,324600,09QcX1GC5LylW50EaLBAT5,10
Anouar Brahem,Al Birwa,291853,5MiEmT9q63iZHHGaKO8A4k,1
Anouar Brahem,Astrakan Café - 1,195640,3w6Q4UYdUbAkwT4Plhh3Tp,1
Anouar Brahem,Astrakan Café - 2,289426,0qPm1SzUx66Zz4XBMMwpb6,1
Anouar Brahem,Bahia,25455,1uf8Nk1hT9pv35xuKGZc81,1
Anouar Brahem,Blue Maqams,57871,6h2eq614VlanRSPchkBKfk,1
Anouar Brahem,Dance With Waves,1361,2ckijmqhUrHpuXS33ufDkU,1
Anouar Brahem,Dar es salaam,222733,09M5C85WlxOZTYXUgnHcCw,1
Anouar Brahem,Halfaouine,354200,12QGmnEmcpgFajECmRfg6u,2
Anouar Brahem,Le pas du chat noir,481506,06KoWveyWUuK1BGVU4a0Es,4
Anouar Brahem,Leila au pays du carrousel,397000,1O1zGMOJqEzfgTUdNtBhhh,2
Anouar Brahem,Nihawend lunga,209693,1WpyEBeN9XzW1HqUUIRYPX,1
Anouar Brahem,Opening Day,23253,7FI4GNCpplLLHihNZPOwKW,1
Anouar Brahem,Parfum de gitane,256866,73teqAARtgUy5QRbvfdTdb,3
Anouar Brahem,Raf Raf,213000,32hMOkD3EoaJUMuKrBtX95,1
Anouar Brahem,The Astounding Eyes Of Rita,521880,6NAXW6IwUyswJk9bHe4y9S,2
Anouar Brahem,The Lover Of Beirut,464453,671PNRt6dkGibaoWCSRySg,1
Anthony Phillips,Chinese Mushroom Cloud,46053,1EOeRWpdoCQ6SvzFtmboxq,1
Anthony Phillips,Collections,988,2qbFPH5Ik5TVQoJPzFDfpP,3
Anthony Phillips,Scottish Suite: I. Salmon Leap,166893,39AZ7aN5xKQlSlEIzWFMKk,2
Anthony Phillips,Which Way the Wind Blows,1519,49OFeEXDprG2QvoTcrneZR,4
Antonín Dvořák,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",5082,3sAYxq1986j3ydqLv6jwUJ,10
Antônio Carlos Jobim,Jobim: Road to the Sun,6558,6LhNIBQ3c711HIIhwWoFpx,4
Apache 207,Breaking your heart,22228,6fsbuVwtZHq8bCfUOfmkNL,1
Aphex Twin,Alberto Balsalm,279521,6gbmylJ7sB7NFfMfTQHosf,1
Aphex Twin,Avril 14th,125520,1uaGSDFsLdReQgg8p7Obwh,9
Aphex Twin,Fingerbib,1866,2hcywxHZcxmX27lX5qm8MT,1
Aphex Twin,Icct Hedral - Phillip Glass Orchestration,485733,4TQ0x3FHz9gbh3hkzMyON0,1
Aphex Twin,Jynweythek,143880,3I0rWmF86CwQpajoZjkXtG,1
Aphex Twin,Tha,55542,4Sxv0whUHWzHK5T8uuP66S,2
Aphrodite's Child,Aegian Sea,322666,2FqJYBr4L4boPdzawhXpLb,2
Aphrodite's Child,Altamont,270689,5JiocAkgAFBm1DePLAQ8NK,1
Aphrodite's Child,Break,45010,3MVRomkBhBPFS0A1dNfom3,1
Aphrodite's Child,The Battle Of The Locusts,56000,7xTj9dkCaNL7gIIHVTi8i3,1
Aphrodite's Child,The Four Horsemen,353426,5FgQkEcqMXCqFdcsEx143b,5
Aphrodite's Child,The Grass Is No Green,3176,732hGiqUMDNZ6GPV5pgwnL,1
April Wine,You Could Have Been a Lady,204080,4aczfKPPHlNusfMiN94hHI,6
Aram Khachaturian,Gayane Suite No. 3: IV. Gayane's Adagio,296373,74JmOn8oxrDI6msHDudTlm,5
Arc De Soleil,Trying to Escape,175115,0We07dgjYDwoR9ex4BscSQ,1
Area,Gioia e rivoluzione,276413,0wVHtawKJH9WEEVqHVMee9,4
Arlo Guthrie,Alice's Restaurant Massacree,1116833,4OjKHySJHstsImlUW3qfml,4
Arlo Guthrie,Anytime,110493,2nWvzzvR9CNpeIhGPOdbek,2
Arlo Guthrie,Coming into Los Angeles (Taking Woodstock - Original Motion Picture Soundtrack) - Live,117510,0mJgYBqXh1B1KetCUVe3QT,1
Arlo Guthrie,Coming into Los Angeles - Remastered,186506,7vCAPGfk46iIyikreugUay,1
Arlo Guthrie,Connection,161640,15YwfV8Qb8DaQMlYrTRGMV,1
Arlo Guthrie,Darkest Hour - Live,237240,4rOnP375aaUNspsiMwjgpE,3
Arlo Guthrie,Highway in the Wind,161610,1j0PBbY7zM7GFX64WixxMr,10
Arlo Guthrie,Last Train,186493,7wuQNRNTq3mFDYXirEngWK,3
Arlo Guthrie,Lightning Bar Blues,172666,2mKJ49P2NrD8At77o39qzO,1
Arlo Guthrie,My Front Pages - Remastered,227000,7la4Fo3BZmBoMqUsyvym6F,2
Arlo Guthrie,Oklahoma Hills - Remastered,51561,2cvm5XMgcnUQl9ytnJBiU5,1
Arlo Guthrie,Ring A-Around-A-Rosy Rag,135000,3AHtI7H4nSzDjEEGZIAJoY,3
Arlo Guthrie,St. James Infirmary - Live,239626,2iKfD6WCmwfRUTKdBlYI5V,6
Arlo Guthrie,The City of New Orleans,274506,0P6TTXbSLGrSoTNMz5kvB7,1
Arlo Guthrie,The Motorcycle Song,170527,4RqUEAv0YXitpXVDbf6nD7,10
Arlo Guthrie,Walking Song,62741,3UT97xwWnEL9yAxJal6Xie,1
Arlo Guthrie,Wheel of Fortune - Remastered,14474,57UIpvljRDFX3WVcEW0Xte,1
Arlo Guthrie,Wouldn't You Believe It - Remastered,202200,0SAhT2S63WhZ1NchfvBR48,1
Arnold Schoenberg,"Schoenberg: Verklärte Nacht, Op. 4: I. Grave",74880,6gz6rxRge7BLRreM9uJXxI,8
Art Blakey,Sweet 'n' Sour,54350,0rSAGnHJjXaWqPDBIJMwOZ,4
Art Ensemble Of Chicago,Nice Guys,81855,5MDxPBSpSzkdCX3UfUTj0u,4
